36, 1516.0, Christian, Annamanaidu, 213 N. College Dr., Omaha, NE, 68127
48, 933.0, Homer, Allen, 766 Willow Ridge Dr, Demotte, IN, 46310
52, 4191.0, Mike, Azure, 304 Combs, Mendon, NY, 14606
60, 4371.0, Scott, Brown, 919  137Th Avenue Ne, Kansas City, KS, 66102
66, 673.0, Bry, Buford, 540 W North West Highway, New York, NY, 10005
79, 963.0, Simon, Chang, 8317 Cabin Creek Drive, Oshkosh, WI, 54901
82, 1980.0, Dinesh, Boan, 11582 Rusk Cove, Charlotte, NC, 28270
87, 3123.0, Becky, Chen, 2605 Hawthorne Ave, Southgate, MI, 48195
89, 3492.0, Joseph, Boswell, 3131 E. Holcombe Blvd, Shelton, CT, 6484
91, 1488.0, Usha, Cummings, 12033 Foundation Place, Greenville, TX, 75401
83, 1874.0, Tai-yen, Dalton, 115 Tower Drive, Round Rock, TX, 78681
92, 1838.0, Edward, Aguimba, 444 Propsect St, Streamwood, IL, 60107
53, 3104.0, Donald, Dardac, 4232 Judah, Irving, TX, 75038
54, 2430.0, Jose, Deguzman, 4168 Woodland Road, Brooklyn, NY, 11226
95, 826.0, Walter, Cheboli, 4260 Nw 32 Street, Mankato, MN, 56002
96, 1454.0, Jerry, Bawa, 315 Newport Lane, Rockville, MD, 20850
98, 2072.0, Billy, Duvall, Box 123, Fremont, CA, 94536
108, 4961.0, Vito, Broadhurst, 300 30Th Ave. N. Apt. 4C, Fennimore, WI, 53809
39, 3738.0, Philip, Fernandes, 136 Gales Drive, Richmond Hts, OH, 44143
67, 598.0, Mark, Fritz, 16 Erie, Hosuton, TX, 77077
115, 3338.0, John, Gagne, 2156 Glencoe Hills Drive.# 6, Sumter, SC, 29154
80, 4409.0, Chong, Garcia, 28000 Dequindre, Fairfax, VA, 22033
117, 3548.0, Kirk, Bounds, 1818 South 43Rd Street, Collinsville, IL, 62234
119, 2881.0, Greg, Donahoe, P. O. Box 2600, St. Paul, MN, 55101
101, 668.0, Seth, Goldberg, 4647 Stone Avenue, Huntsville, TX, 77320
64, 1401.0, Mark, Goodwin, 6639 Capitol Blvd, Montgomery, AL, 36130
51, 1591.0, Eduardo, Green, 1240 E. Diehl Road, Columbia, SC, 29209
43, 3128.0, Brent, Haldorai, 1427 Valley, Huntsville, AL, 35806
68, 3588.0, Karen, Hamilton, 18 Marvin Dr.  Apt#B-5, Cincinnati, OH, 45263
102, 1455.0, Esta, Hernandez, 4000 So. 35Th, Hagerstown, MD, 21742
100, 293.0, Giridhar, Hodgkins, 814 East Ivy Street, Nyc, NY, 110324
49, 4303.0, Walter, Huebner, 100 Peachtree St., Jacksonville, FL, 32217
50, 4804.0, Larry, Hutcheson, 2902 Cannons Lane, Coffeyville, KS, 67337
120, 3391.0, Alex, Bucella, 3451 Fairway Commons Dr, Colorado Springs, CO, 80907
45, 332.0, Phyllis, Jain, 75 Lexington Court, Austin, MN, 55912
56, 3323.0, Mark, Johnson, 1538 Harmon Cove Tower, Greenville, NC, 27889
90, 1100.0, Stewart, Johnson, 410 Victory Garden Dr. Apt. 36, San Diego, CA, 92111
72, 3291.0, Jing peng, Kieffer, 1492 Highland Lakes Trail, Ringgold, GA, 30736
74, 137.0, Lakshman, Knox, 9074 Estes St, Austin, TX, 78759
113, 426.0, Carl, Kohli, 51 Mercedes Way, Hollister, CA, 95023
78, 902.0, Andrew, Konow, 25677 Wistereia Ct, Greenville, SC, 29607
41, 2666.0, Gopinath, Kumari, 35 Manor Dr. Apt# 5-O, Queens Village, NY, 11428
93, 4744.0, Kimberly, Lacey, 3450 W. Country Club Dr, Macomb, MI, 48044
33, 423.0, Andrew, Lair, 28 Marblestone Lane, San Francisco, CA, 94122
77, 4236.0, Andrea, Latheef, 17 Potter Road, Jacksonville, FL, 32256
65, 791.0, Rick, Mallipeddi, 1876 Woodhollow Dr, Milpitas, CA, 95035
58, 3247.0, Robert, Marlatt, P.P. Box 139, Yorktown Heights, NY, 10598
44, 4770.0, Jeremy, Miller, 625 Woodsmoke, Plano, TX, 75023
88, 2797.0, Charles, Monse, 5933 6Th Street, Somersert, NJ, 8873
35, 3910.0, Robert, Morgan, 48289 Fremont Blvd, Carrollton, TX, 75006
46, 2819.0, Randy, Nataraj, 1409 Coliseum Blvd, Wesley Chapel, FL, 33544
114, 895.0, Kim, Nuytten, 8908 So 121St, Chattanooga, TN, 37404
118, 2490.0, Dianna, Palanukumarasamy, 1521 W Wolfram, Columbia, SC, 29223
112, 231.0, Nancy, Paramasivan, 923 Fuchsia Ave, Alamo, CA, 94507
42, 2551.0, Harriet, Pardo, 141 Summit Street, Waldorf, MN, 56091
111, 220.0, Wm, Perkins, 900 Old Country Rd, Grand Prairie, TX, 75052
62, 2209.0, Robert, Petway, 303 3Rd Ave Se, Jacksonville, FL, 32224
121, 2509.0, Bob, Demith, 20 Carlsbad Rd., New York, NY, 10007
86, 4609.0, Joe, Ritz, 7404 Lomo Alto, Plano, TX, 75024
63, 4191.0, Timothy, Robinson, 3075 Highland Parkway, Westland, MI, 48185
40, 4066.0, Chris, Roby, 182 Greylock Parkway, Sacto, CA, 95814
76, 2839.0, Jagriti, Ryan, 115 Audubon Cove, Kingsport, TN, 37663
110, 4578.0, Ian, Sanjay, 517 So. Main Street, Gainesville, FL, 32301
71, 4257.0, Anita, Santos, 1640 Barrington Lane, Barrington, IL, 60448
73, 1748.0, Glenda, Seaver, 23 Holohan Drive, Mountlake Terrace, WA, 98043
47, 4400.0, Timothy, Sellers, 13700 Sutton Park Dr N -- #322, Dallas, TX, 75287
32, 2651.0, Liuy, Slabicki, 1979 Marcus Ave., Westwood, NJ, 7675
106, 2836.0, Steven, Smisko, 104 Cinnamon Teal Court, Warren, MI, 48089
61, 2573.0, George, Stein, 95 Carleton St, New Milford, NJ, 7646
116, 3745.0, Edgar, Sun, 39 Howell Place, Parsippany, NJ, 7054
122, 2463.0, Eric, Giraka, 115 Williams St Se, Seatle, WA, 98036
99, 1655.0, Lucy, Trasente, 51783 Se 7Th Street, Westerville, OH, 43081
107, 1089.0, Jeff, Travis, 3111 Monument Drive, Milwaukee, WI, 53218
103, 4324.0, Janet, Trent, 13101 Columbia Pike, San Francisco, CA, 94122
85, 2120.0, Thell, Trujillo, 1204 Keller Lane, Fairfield, IA, 52556
94, 4258.0, Bharat, Vega, 3003 N. First St. Ste309, Little Elm, TX, 75068
123, 4866.0, Bill, Jackson, 25-3 Latham Villiage Lane, Parma, OH, 44134
104, 882.0, Sathyanarayana, Wheatley, 2226 Spring Dusk Lane, Bloomingdale, NJ, 7403
84, 2166.0, Frank, Wieneke, 2111 Bancroft Way, Birmingham, AL, 35226
75, 4743.0, Alex, Wigton, 5033 Montego Bay Dr, Brooklyn, NY, 11245
105, 4061.0, Eugene, Williams, 805D Columbia St., Flushing, NY, 11355
55, 705.0, Jonathan, Wolff, 7921 Lamar, Ann Arbor, MI, 48108
97, 4646.0, Nicolette, Yciano, 1295 State Street, Gettysburg, PA, 17325
124, 1996.0, Cameron, Bruch, 10925 South Bryant, Addison, TX, 75001
125, 4020.0, Leslie, Chism, 123 Main St, Roy, UT, 84067
126, 1094.0, Steve, Beemer, 1234 Main St, Watertown, CT, 6795
127, 3835.0, Dhananjay, Garcia, 9211 Garland, Columbus, OH, 43216
128, 3565.0, Jo, Susai, 42524 Parkhurst Rd., Mansfield, MA, 2048
129, 4939.0, Jonathan, Pot, 14647 S. Peppermill Ct., Madison, NJ, 7940
130, 1149.0, Christy, fedor, Beltline Road, Austin, TX, 78745
131, 2169.0, Tina, Wazny, 1025 Cadillac Way, Birmingham, AL, 35242
132, 2305.0, Jody, Daniel, 1 Enterprise Dr, Phoenix, AZ, 85032
